id,source_url,title,overview,outcome,status,platform,asset_urls,asset_text_extracts,created_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,https://m.facebook.com/hennamaria22/posts/1448632362193051?d=m,A post claiming the negative effects of wearing a mask on the brain,This complaint pertains to a Facebook post in which the user claims to be presenting the first hand comments of a supposedly world renowned Neurologist who claims that wearing a facial mask,in response to COVID-19,can cause varying degrees of brain damage due to oxygen deprivation and other related complications.,Contrary to the claims made in the post,wearing a mask does not restrict the amount of oxygen a person breathes in (and therefore the amount that reaches your brain) and it also does not cause a dangerous buildup of carbon dioxide. Similar claims related to the same notion have already been debunked by several reputable information agencies,including Poynter: https://www.poynter.org/fact-checking/2020/it-is-not-true-that-masks-cause-hypoxia-this-hoax-is-now-viral-and-dangerous/. Further areas of concern raised by the posts are also addressed here: https://www.cnet.com/health/8-dangerous-covid-19-face-mask-myths-you-need-to-stop-believing/.   Additionally,an internet search of the supposed expert Dr. Margarite Griesz-Brisson results in various iterations of this post indicating the likelihood that it is a common iteration of misinformation.,Resolved,Facebook,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/e8mk8y2x__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/e8mk8y2x__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/e8mk8y2x__0.jpeg,07:42 G ..ll 97% m.facebook.com hennamar 11 : Henna Maria Follow 3 October at 17:15 URGENT! This is one of the most important posts I have ever made,please read it. I have written a transcript of the highlights from Dr. Margarite Griesz-Brisson's recent extremely pressing video message,that was translated on-air from German into English by Claudia Stauber. Dr. Margarite Griesz-Brisson MD,PhD is a Consultant Neurologist and Neurophysiologist with a PhD in Pharmacology,with special interest in neurotoxicology,environmental medicine,neuroregeneration and neuroplasticity. This is what she has to say about masks and their effects on our brains: The rebreathing of our exhaled air will without a doubt create oxygen deficiency and a flooding of carbon dioxide. We know that the human brain is very sensitive to oxygen depravation. There are nerve cells for example in the hippocampus,that can't be longer than 3 minutes without oxygen - they cannot survive. The acute warning symptoms are headaches,drowsiness,di,2020-10-05 5:44:17,,,,,,,,,,,,,,,,,,,,,,,
826,https://youtu.be/75xt3gOOuJs,Renaldo Gouws: Farm attacks and murders are organised terrorist attacks and racially motivated.,Claims in the video that farm attacks are organised terrorist operations in South Africa.,The statements that Farm Attacks are coordinated terrorist attacks and racially motivated is misleading. Renaldo Gouws' Youtube Channel is geared at being controversial,farms murders are on point and stir up huge emotions. This video amounts to Gouw's opinion and does not meet the criteria for disinformation.,Resolved,Youtube,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/H9F3769L__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/H9F3769L__1.jpeg,: >I / 2:22 O Live Live chat THE Top chat 105 flourishing 18:45 Streamlabs Be sure to support me by checking out my merch. If you see something you like then BUY IT. Go and check it out by visiting: https:www.tsekclothing.com 18:45 Streamlabs Be sure to SM AS H that LIKE button and don't forget to SUBSCRIBE. 18:45 Mel S @rockyroan123 Ple as e send your topic related comments to MMR WhatsApp number 082 0777 555. Download the App or livestream Mann Made Radio to hear the music etc. 18:45 D Var Man-made Radio 18:45 Laurynne Gouws #Mel S I will! 18:45 Estelle Els Ple as e send your topic E.E related comments to MMR WhatsApp number 082 0777 555. Download the App or livestream Mann Made Radio to hear the music |,Manndatory Mondays - Farm Murders and Failing Infrastructure 105 watching now 16,4 ( 64 5 Live chat Share Report Dow Renaldo Gouws SUBSCRIBED 88.2K subscribers n |,2020-10-05 16:57:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,https://twitter.com/FihliF/status/1311799288163336193,Disinformation with xenophobic agenda re. Orange Farm child murder accused,The tweet purports to depict the woman who allegedly murdered two children in Orange Farm. The tone of the accompanying text assumes a strong xenophobic stance.,While the picture has been confirmed as not depicting the suspect,news reports confirm that the person accused of the murder is in fact a foreigner (https://www.timeslive.co.za/news/south-africa/2020-10-01-new-twist-in-orange-farm-child-killings-as-woman-appears-in-court/ ) However,the overall effect of the wording is to incite xenophobic hatred. The fact that an image is incorrectly associated with a message that furthers a xenophobic sentiment is disinformation as it was intended to mislead.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/4r885a4q__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/4r885a4q__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/4r885a4q__0.png,#Put South African First oog @FihliF This devil,not surprised a FOREIGNER,killed two infants in Orange Farm. Such things never happened before 1994. The devil is hospitable because she was bitten,by inmates,after they knew her conviction. Cell CN A @ C 4 D I 00:37 < Reader mode Illegal Immigrant Murders Two South African Kids ngobilem Follow 488 Followers 2 hr ago and A 29 year old woman,who came into our country illegally had the |,#Put South African First oog @FihliF This devil,not surprised a FOREIGNER,killed two infants in Orange Farm. Such things never happened before 1994. The devil is hospitable because she was bitten,by inmates,after they knew her conviction. Cell CN A @ C 4 D I 00:37 < Reader mode Illegal Immigrant Murders Two South African Kids ngobilem Follow 488 Followers 2 hr ago and A 29 year old woman,who came into our country illegally had the |,#Put South African First oog @FihliF This devil,not surprised a FOREIGNER,killed two infants in Orange 832,https://youtu.be/sFDolVz7Mkc,Claims regarding SAPS Violence at Senekal Court hearing,Allegation that SAPS fired shots and protestors and was violent without cause when protesters were engaging in a peaceful protest.,Whilst this video contains false information and has no public interest override,is sensationalist and is biased in its narrative,the YouTuber is expressing opinion on the reaction of SAPS to the issues at hand,he is careful to frame the video in a way that it is clear he is expressing opinion on the status of the interaction and engagement and whilst very problematic and driving a right wing agenda,it does not meet the criteria for public harm.,Resolved,Youtube,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/7CS0E05W__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/7CS0E05W__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/7CS0E05W__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/7CS0E05W__1.jpeg,#Senekal #Brendin #Horner Senekal. Enough is Enough (06 Oct 2020) 94 watching now I,4 14 0 Live chat Share Report Dowr Chris Wyatt SUBSCRIBE 8.8K subscribers |,#Senekal #Brendin #Horner Senekal. Enough is Enough (06 Oct 2020) 94 watching now I,4 14 0 Live chat Share Report Dowr Chris Wyatt SUBSCRIBE 8.8K subscribers |,news 24 Sign in Subscribe Breaking News. First Add location TOP STORIES FOR SUBSCRIBERS SA NEWS COVID-19 WATCH Farmers overturn police van news outside Senekal court 24 Violent scenes broke out at the Senekal Magistrate's Court following a short appearance of two suspects accused of murdering 22-year-old Brendin Horner. Angry farmers wanted to take matters into their own hands after Horner was found hanging from a p Violent scenes broke out at the Senekal Magistrate's Court when a group of farmers wanted to take the law into their own hands. Police say a group of Free State farmers allegedly fired two shots,overturned and set alight a police vehicle,and damaged the court property while f,2020-10-06 14:45:51
847,https://twitter.com/Carl34409784/status/1314052834107760642?s=19,Tweet indicating that masks are a farce and should not be worn,This complaint pertains to a tweet in which the user suggests that wearing a mark is a farce (and be inference COVID-19 in general) and should not be worn.,Typical misinformation around the wearing of masks and their ability to protect the wearer,while reducing transmissions of the virus between members of the population.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/x5hdwrsi__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/x5hdwrsi__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/x5hdwrsi__0.jpeg,VOLTE 4G G.lll H*.ull A & * N ] 10:29 < Tweet Carl @Carl34409784 Replying to @deptoflabour and @the_dti Dont wear any masks at all. It is a farce. 5:59 . 08 Oct 20 . Twitter Web App L C Xo O a O Tweet your reply O |,VOLTE 4G G.lll H*.ull A & * N ] 10:29 < Tweet Carl @Carl34409784 Replying to @deptoflabour and @the_dti Dont wear any masks at all. It is a farce. 5:59 . 08 Oct 20 . Twitter Web App L C Xo O a O Tweet your reply O |,VOLTE 4G G.lll H*.ull A & * N ] 10:29 < Tweet Carl @Carl34409784 Replying to @deptoflabour and @the_dti Dont wear any masks at all. It is a farce. 5:59 . 08 Oct 20 . Twitter Web App L C Xo O a O Tweet your reply O |,2020-10-08 8:35:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,,Deadly Second Wave of New Disease in November,The Voicenote claims we'll have a second lockdown in November that is more strict because there is a 'new disease' coming that's 'very deadly'. It also claims there will be no production and therefore no food. As there is no evidence and no sources cited to support any of the claims made in the voice note.,This is Disinformation with the first red flag being the lack of the credibility and support for the information provided. It claims we'll have a second lockdown in November that is more strict because there is a 'new disease' coming that's 'very deadly'. It also claims there will be no production and therefore no food. As there is no evidence to support any of the claims made in the voice note,it is imperative that a Infographic be issued to mark it as FAKE because it only serves to inspire panic in the population.,Resolved,WhatsApp,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/tyif94iz__0.mp4,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/tyif94iz__0.mp4,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/tyif94iz__0.mp4,NULL,2020-10-08 8:39:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,https://twitter.com/Solwayo1/status/1313956234731622406?s=19,Tweet claiming that Southern Africa is sitting on a huge time bomb as it relates to a new unknown virus,This complaint pertains to a tweet in which the user,who identifies himself as a professor,warns the reader about a new unknown virus as well as the relaxation of protective measures will result in a second wave.,While there are various theories around the potential for a second wave,as well as scientists whose opinion is that Covid-19 will not be the last new virus we see,the claims made in the tweet tend towards the outrageous and extreme,without providing any form of fact or evidence to support the claims made. As the user positions themselves as a medical professional,my concerns are that they could incite panic amongst people,which could manifest in all manner of things,from outrageous conspiracy theories to potentially harmful 'cures'.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/83ifxld6__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/83ifxld6__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/83ifxld6__0.jpeg,VOLTE 6 X N 35% a I 10:37 Tweet Professor Solwayo Ngwenya @Solwayo1 Replying to @DrZweliMkhize Southern Africa sits on a huge time bomb; new unknown virus,;relaxed populations and second waves will explode. Again as in 1918,sweeping from SA northwards. History about to repeat itself. Oh our people!! 23:35 . 07 Oct 20 . Twitter for Android 1 Retweet 17 Likes L C O Bhungane @Mthi866. . 6h Replying to @Solwayo1 and @DrZweliMkhize U r the Angel of doom.. Let your prophecy only be true in your Zimbabwe.. We on the other hand are gonna beat this thing,Amen Tweet your reply O |,VOLTE 6 X N 35% a I 10:37 Tweet Professor Solwayo Ngwenya @Solwayo1 Replying to @DrZweliMkhize Southern Africa sits on a huge time bomb; new unknown virus,;U r the Ang,2020-10-08 8:40:01,,,,,,,,,,,,,,,,,,,,,,,,
850,https://www.youtube.com/watch?v=kr04gHbP5MQ&feature=youtu.be,YouTube: Conspiracy Theory on Covid19,The complaint is that the youtuber claims that the 'Corona Scandal' is one of the biggest 'crimes against humanity' in the history of the world. He also the safety precautions put in place to control the spread of covid-19 and denounces them only as a means by which to make people panic and purchase safety gear to therefore generate money for big corporations (who are also allegedly harvesting our genetic fingerprints).,This is Disinformation and the central narrative is based on conspiracy theory thinking. Several of the claims have already been debunked. An infographic must be issued.,Resolved,Youtube,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/QG4J1YL1__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/QG4J1YL1__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/QG4J1YL1__0.png,suaquosgns ys 79 Jaujay 'JO 3AVS + 38VHS 4L8 MLL 0ZOZ 'E 100 . SMAIA ELL't996 isule6e sawlio MIN MIN MIN YOM DNMS DUSO HOH F M/N MIN AND MN MIN MIN yoJeas VZ agnino,|,suaquosgns ys 79 Jaujay 'JO 3AVS + 38VHS 4L8 MLL 0ZOZ 'E 100 . SMAIA ELL't996 isule6e sawlio MIN MIN MIN YOM DNMS DUSO HOH F M/N MIN AND MN MIN MIN yoJeas VZ agnino,|,suaquosgns ys 79 Jaujay 'JO 3AVS + 38VHS 4L8 MLL 0ZOZ 'E 100 . SMAIA ELL't996 isule6e sawlio MIN MIN MIN YOM DNMS DUSO HOH F M/N MIN AND MN MIN MIN yoJeas VZ agnino,|,2020-10-08 9:31:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,https://twitter.com/Thabelo_PSAF/status/1313025150636486656,Tweet claiming that Zimbabweans wants to kill innocent South Africans and take their land,This complaint pertains to a tweet in which the user,whilst commenting on a,The author of the tweet takes a story about an alleged 'Table Mountain killer' and tries to position it as proof of an outright intention by Zimbabweans to to kill innocent South Africans and take their land. The intention is to problematise their being called xenophobic by positioning the anti-Zimbabwean narrative as having South African's best interests at heart,in the face of a potential genocide at the hands of Zimbabweans which is an unfounded and extreme position to take.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/qg9w0tht__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/qg9w0tht__0.jpeg,#PutSouthAfricansFirst @Thabelo_PSAF Zimbabweans killed and chased out white people from their country. Now they are on a mission to kill innocent South Africans and chase them out of our country. When we speak about such atrocities they call us xenophobic #PutSouthAfricansFirst II |,#PutSouthAfricansFirst @Thabelo_PSAF Zimbabweans killed and chased out white people from their country. Now they are on a mission to kill innocent South Africans and chase them out of our country. When we speak about such atrocities they call us xenophobic #PutSouthAfricansFirst II |,2020-10-08 13:32:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,https://twitter.com/buwagp/status/1313735251550629888,#PutSouthAfricansfirst: Tweet calling foreigners parasites.,Claim that the tweet is promoting hate speech towards foreigners.,The complaint meets some of the criteria of both disinformation and hate speech but not all of the criteria. However,the claim that foreign nationals are parasites and 'a burden to taxpayers' is unfounded and misinformed,simply serving to add fuel to the xenophobic fires that have been burning beneath the #PutSouthAfricansFirst movement.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/C6S1230R__0.jpeg,#PutSouthAfricansFirst in south Africa @buwagp #PutSouthAfricansFirst #16OctoberCleanSA foreigners are parasites in our country and a burden to taxpayers money and South Africans #PutSouthAfricansFirst @Thabelo_PSAF . Oct 7 Give me names of 5 foreigners who have added value in South Africa G let's go #16OctoberCleanSA 10:57 AM . Oct 7,2020 . . Twitter for Android |,2020-10-08 15:44:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,https://twitter.com/mynameisjerm/status/1314467637771087872?s=21,Jeremy Nel: Tweet advising masks and lockdowns are ineffective.,Allegation by Jerm that it's 'unscientific and stupid' to have the opinion that lockdowns and masks are effective in terms of pandemic management.,This information is clearly Mis /DisInformation. Dissemination of information of this nature does not benefit the public,but is intended to cause harm to the public and should be removed.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/hdtbbmpu__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/hdtbbmpu__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/hdtbbmpu__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/hdtbbmpu__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/hdtbbmpu__1.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/hdtbbmpu__1.jpeg,Jerm 0 28,3K Tweets Not followed by anyone you're following Tweets Tweets & replies Media Likes LZ Jerm Retweeted Jerm @mynameisjerm 29m Replying to @sejanus You're twisting my words again. I tweeted THAT SPECIFIC TWEET SO that it can be mocked. Defending lockdowns and cloth masks are fucking unscientific and stupid positions to hold. And if you're not going to change your mind on them,then you must be ridiculed. 3 L2 4 T |,Jerm 0 28,3K Tweets Not followed by anyone you're following Tweets Tweets & replies Media Likes LZ Jerm Retweeted Jerm @mynameisjerm 29m Replying to @sejanus You're twisting my words again. I tweeted THAT SPECIFIC TWEET SO that it can be mocked. Defending lockdowns and cloth masks are fucking unscientific and stupid positions to hold. And if you're not going to change your mind on them,then you must be ridiculed. 3 L2 4 T |,Jerm 0 28,3K Tweets Not followed by anyone you're following Tweets Tweets & replies Media Likes LZ Jerm Retweeted Jerm @mynameisjerm 29m Replying to @sejanus,2020-10-09 8:05:51,,,,,,,,,,,,,,,,,,,,,,,,,,
870,https://twitter.com/katmani10/status/1306549119272583170,Tweet stating that 99% of Nigerians and Zimbabweans are teachingon fake papers.,The author is claiming that 99% of Nigerians and Zimbabweans are teaching with fake papers. This is a largely exaggerated and false claim.,This information is clearly Mis /DisInformation. Dissemination of information of this nature does not benefit the public,but is intended to cause harm to the public and should be removed.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5G3HVPYZ__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/5G3HVPYZ__0.jpeg,katlego @katmani10 You should know 99% Of Nigerians and Zimbabweans were teaching with fake papers. By the time they get caught,they already saved up SO much money,same with Doctors from those countries. The real Nigerian Dr's go to USA not SA. 3:02 PM . Sep 17,2020 . Twitter for Android |,katlego @katmani10 You should know 99% Of Nigerians and Zimbabweans were teaching with fake papers. By the time they get caught,they already saved up SO much money,same with Doctors from those countries. The real Nigerian Dr's go to USA not SA. 3:02 PM . Sep 17,2020 . Twitter for Android |,2020-10-09 8:43:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,https://twitter.com/donaldmohale/status/1307240150938910721,Tweet: Zimbabweans are responsible for 80% of SA Violence Crime,The author is claiming that Zimbabweans are responsible for 80% of violent crimes in the country without and proof.,This information is clearly DisInformation. Dissemination of information of this nature does not benefit the public,but is intended to cause harm to the public and should be removed.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/3JHX90HC__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/3JHX90HC__0.jpeg,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/3JHX90HC__0.jpeg,Am partriot Donald @donaldmohale Zimbabweans are responsible for almost 80% of violent crimes in SA #23SEPTEMBERCLEANSA We coming for you as we are #PutSouthAfricansFirst advocates 12:48 PM . Sep 19,2020 . Twitter for Android 62 Retweets 4 Quote Tweets 150 Likes |,Am partriot Donald @donaldmohale Zimbabweans are responsible for almost 80% of violent crimes in SA #23SEPTEMBERCLEANSA We coming for you as we are #PutSouthAfricansFirst advocates 12:48 PM . Sep 19,2020 . Twitter for Android 62 Retweets 4 Quote Tweets 150 Likes |,Am partriot Donald @donaldmohale Zimbabweans are responsible for almost 80% of violent crimes in SA #23SEPTEMBERCLEANSA We coming for you as we are #PutSouthAfricansFirst advocates 12:48 PM . Sep 19,2020 . Twitter for Android 62 Retweets 4 Quote Tweets 150 Likes |,2020-10-09 10:04:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,https://twitter.com/AllyWaggles/status/1313775109971345409?s=20,Tweets postulating various COVID-19 conspiracy theories,This complaint pertains to a number of tweets putting for known COVID-19 conspiracy theories and areas of possible misleading information. For example that there wont be a second wave of infections or that the virus is not a threat.,The information contained in the reported replies propagate conspiracy theories and common misinformation pertaining to COVID-19.,Resolved,Twitter,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__0.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__1.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__2.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/KA3FIN4A__3.png,https://s3-eu-west-1.amazonaws.com/complaints-review-assets-2.0/,all kom-StayHomeSA 12:20 17 41% 4 I MC Allie Gater AllisonFarah1 Replying to @AllisonFarah @AllyWaggles and 2 others Covid is no threat to us. There is no second wave. Click on the link: YouTube MUST WATCH: Denis Rancourt PhD The Tweet your reply LO Q a |,all kom-StayHomeSA 12:20 17 41% 4 I MC Allie Gater AllisonFarah1 Replying to @AllisonFarah @AllyWaggles and 2 others Covid is no threat to us. There is no second wave. Click on the link: YouTube MUST WATCH: Denis Rancourt PhD The Tweet your reply LO Q a |,all kom-StayHomeSA 12:20 17 41% 4 I MC Allie Gater AllisonFarah1 Replying to @AllisonFarah @AllyWaggles and 2 others Covid is no threat to us. There is no second wave. Click on the link: YouTube MUST WATCH: Denis Rancourt PhD The Tweet your reply LO Q a |,..ll lkom-StayHomeSA 12:20 1 41% 4 I Notifications 203 All Mentions Allie Gater @AllisonFarah1 . 1h MCG Replying to @AllisonFarah1 @AllyWaggles and 2 others Why should we open schools fully?The risk of death with healthy kids is one in a million. Hear i,2020-10-09 10:35:01,,,,,,,,,,,,,,,,,,,,,,,,
